date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:34:10	284/284	---MC-	200	added ('OK')	text/css	date:Fri,%2007%20Feb%202020%2012:04:10%20GMT	http://fonts.googleapis.com/css?family=Libre+Baskerville%3A400i&ver=5.2.5	/Users/apple/websites/cg/fonts.googleapis.com/css31a3.css	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:34:11	47640/47640	---MCZ	200	added ('OK')	text/css	etag:W/%2259c26e3c-ba9f%22	http://dark.paul-themes.com/wp/bauhaus/images_dark/style_dark.css?ver=5.2.5	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/images_dark/style_dark6619.css	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:34:12	3254/3254	---MCZ	200	added ('OK')	text/css	etag:W/%225d42ce0c-1393%22	http://dark.paul-themes.com/wp/bauhaus/wp-content/themes/bauhaus/style.css?ver=5.2.5	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/wp-content/themes/bauhaus/style6619.css	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:34:15	96866/96866	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ce62270-17a69%22	http://dark.paul-themes.com/wp/bauhaus/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/wp-includes/js/jquery/jquery4a5f.js	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:34:15	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:W/%22573e7250-2748%22	http://dark.paul-themes.com/wp/bauhaus/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:34:18	107534/107534	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258f61228-1a40e%22	http://dark.paul-themes.com/wp/bauhaus/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js?ver=5.4.1	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.minc225.js	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:34:18	894/894	---MCZ	200	added ('OK')	text/xml	date:Fri,%2007%20Feb%202020%2012:04:17%20GMT	http://dark.paul-themes.com/wp/bauhaus/xmlrpc.php?rsd	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/xmlrpc0db0.php	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:34:19	63323/63323	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258f61228-f75b%22	http://dark.paul-themes.com/wp/bauhaus/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.4.1	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.minc225.js	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:34:19	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%225c4d97ab-415%22	http://dark.paul-themes.com/wp/bauhaus/wp-includes/wlwmanifest.xml	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/wp-includes/wlwmanifest.xml	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:34:19	77269/77269	---MCZ	200	added ('OK')	application/json	date:Fri,%2007%20Feb%202020%2012:04:18%20GMT	http://dark.paul-themes.com/wp/bauhaus/wp-json/	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/wp-json/index.html	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
